ID,bpmListLib,useBPM,,mainMonListLib,useMain,,psSetListLib,psSetMaxLib,psSetMinLib,psSetAmpLib,usePS
1,BPM:1-X11,1,,MEBT_PS:QUAD_01:IMon,1,,MEBT_PS:DCH_01:ISet,12,-12,7,1
2,BPM:1-Y11,1,,MEBT_PS:QUAD_02:IMon,1,,MEBT_PS:DCV_01:ISet,12,-12,7,1
3,BPM:2-X11,1,,MEBT_PS:QUAD_03:IMon,1,,MEBT_PS:DCH_02:ISet,12,-12,7,1
4,BPM:2-Y11,1,,MEBT_PS:QUAD_04:IMon,0,,MEBT_PS:DCV_02:ISet,12,-12,7,1
5,BPM:3-X11,1,,MEBT_PS:QUAD_05:IMon,1,,MEBT_PS:DCH_03:ISet,12,-12,7,1
6,BPM:3-Y11,1,,MEBT_PS:QUAD_06:IMon,1,,MEBT_PS:DCV_03:ISet,12,-12,7,1
7,BPM:4-X11,1,,MEBT_PS:QUAD_07:IMon,1,,MEBT_PS:DCH_04:ISet,12,-12,7,1
8,BPM:4-Y11,1,,HCM1_PS:SOL_01:IMon,0,,MEBT_PS:DCV_04:ISet,12,-12,7,1
9,BPM:5-X11,1,,HCM1_PS:SOL_02:IMon,0,,MEBT_PS:DCH_05:ISet,12,-12,7,1
10,BPM:5-Y11,1,,HCM1_PS:SOL_03:IMon,0,,MEBT_PS:DCV_05:ISet,12,-12,7,1
11,BPM:6-X11,1,,HCM1_PS:SOL_04:IMon,0,,MEBT_PS:DCH_06:ISet,12,-12,7,1
12,BPM:6-Y11,1,,HCM1_PS:SOL_05:IMon,0,,MEBT_PS:DCV_06:ISet,12,-12,7,1
13,BPM:7-X11,0,,HCM1_PS:SOL_06:Imon,0,,MEBT_PS:DCH_07:ISet,12,-12,7,1
14,BPM:7-Y11,0,,HCM2_PS:SOL_01:IMon,0,,MEBT_PS:DCV_07:ISet,12,-12,7,1
15,BPM:8-X11,0,,HCM2_PS:SOL_02:IMon,0,,HCM1_PS:DCH_01:ISet,35,-35,4,0
16,BPM:8-Y11,0,,HCM2_PS:SOL_03:IMon,0,,HCM1_PS:DCV_01:ISet,50,-50,4,0
17,BPM:9-X11,0,,HCM2_PS:SOL_04:IMon,0,,HCM1_PS:DCH_02:ISet,50,-50,4,0
18,BPM:9-Y11,0,,HCM2_PS:SOL_05:IMon,0,,HCM1_PS:DCV_02:ISet,50,-50,4,0
19,BPM:10-X11,0,,HCM2_PS:SOL_06:Imon,0,,HCM1_PS:DCH_03:ISet,50,-50,4,0
20,BPM:10-Y11,0,,HCM3_PS:SOL_01:IMon,0,,HCM1_PS:DCV_03:ISet,50,-50,4,0
21,BPM:11-X11,0,,HCM3_PS:SOL_02:IMon,0,,HCM1_PS:DCH_04:ISet,50,-50,4,0
22,BPM:11-Y11,0,,HCM3_PS:SOL_03:IMon,0,,HCM1_PS:DCV_04:ISet,50,-50,4,0
23,BPM:12-X11,0,,HCM3_PS:SOL_04:IMon,0,,HCM1_PS:DCH_05:ISet,50,-50,4,0
24,BPM:12-Y11,0,,HCM3_PS:SOL_05:IMon,0,,HCM1_PS:DCV_05:ISet,50,-50,4,0
25,BPM:13-X11,0,,HCM4_PS:SOL_01:IMon,0,,HCM1_PS:DCH_06:ISet,50,-50,4,0
26,BPM:13-Y11,0,,HCM4_PS:SOL_02:IMon,0,,HCM1_PS:DCV_06:ISet,50,-50,4,0
27,BPM:14-X11,0,,HCM4_PS:SOL_03:IMon,0,,HCM2_PS:DCH_01:ISet,50,-50,4,0
28,BPM:14-Y11,0,,HCM4_PS:SOL_04:IMon,0,,HCM2_PS:DCV_01:ISet,50,-50,4,0
29,BPM:15-X11,0,,HCM4_PS:SOL_05:IMon,0,,HCM2_PS:DCH_02:ISet,50,-50,4,0
30,BPM:15-Y11,0,,HCM4_PS:SOL_06:Imon,0,,HCM2_PS:DCV_02:ISet,50,-50,4,0
31,BPM:16-X11,0,,###################,0,,HCM2_PS:DCH_03:ISet,50,-50,4,0
32,BPM:16-Y11,0,,###################,0,,HCM2_PS:DCV_03:ISet,50,-50,4,0
33,BPM:17-X11,0,,###################,0,,HCM2_PS:DCH_04:ISet,50,-50,4,0
34,BPM:17-Y11,0,,###################,0,,HCM2_PS:DCV_04:ISet,50,-50,4,0
35,BPM:18-X11,0,,###################,0,,HCM2_PS:DCH_05:ISet,50,-50,4,0
36,BPM:18-Y11,0,,###################,0,,HCM2_PS:DCV_05:ISet,50,-50,4,0
37,BPM:19-X11,0,,###################,0,,HCM2_PS:DCH_06:ISet,50,-50,4,0
38,BPM:19-Y11,0,,###################,0,,HCM2_PS:DCV_06:ISet,50,-50,4,0
39,BPM:20-X11,0,,###################,0,,HCM3_PS:DCH_01:ISet,50,-50,4,0
40,BPM:20-Y11,0,,###################,0,,HCM3_PS:DCV_01:ISet,50,-50,4,0
41,BPM:21-X11,0,,###################,0,,HCM3_PS:DCH_02:ISet,50,-50,4,0
42,BPM:21-Y11,0,,###################,0,,HCM3_PS:DCV_02:ISet,50,-50,4,0
43,BPM:22-X11,0,,###################,0,,HCM3_PS:DCH_03:ISet,50,-50,4,0
44,BPM:22-Y11,0,,###################,0,,HCM3_PS:DCV_03:ISet,50,-50,4,0
45,BPM:23-X11,0,,###################,0,,HCM3_PS:DCH_04:ISet,50,-50,4,0
