 14.8 -12.6  -0.7 -10.8   1.8  -7.2 -10.3 -11.5  10.3   7.6   4.4  -1.4  -3.4  -2.2  1.8  -1.64  4.32  4.4   0.35  -1.39  0.71  6.66  4.14 -0.48  3.07696938515
 13.59 -14.55   1.94  -7.56  -1.55  -8.    -7.2  -13.2   12.64   5.     1.25  -4.26  -0.51  -0.59  1.77 -1.75  2.7   2.87  0.15  -1.41  0.87  6.16  3.68 -0.38  3.05945634842
 14.11 -13.51  -0.1   -7.36  -0.48  -9.48  -4.75  -9.84  14.53   3.21   1.67  -4.8   -1.19  -0.78  1.78 -1.61  3.19  3.35 -0.1   -1.37  2.14  7.93  4.84 -0.25  3.04562187195
 10.66 -11.25  -1.34  -4.91   1.88 -11.8   -1.77  -9.63  11.59  -0.19   1.74  -6.46  -3.86  -0.96  1.82 -1.56  2.19  2.22 -0.79  -1.21  0.42  5.05  2.56 -1.56  3.05375981331
  7.34  -8.1   -4.77  -1.74   2.94 -13.08  -1.43  -6.74   9.88  -0.35   4.52  -8.58  -4.04  -1.28  1.82 -1.21  1.74  1.56 -1.12  -1.27  0.24  5.32  2.98 -1.08  3.05662441254
  7.32  -6.21  -5.8   -1.22   3.57 -14.22   0.26  -3.88   7.25  -2.05   4.88 -11.95  -4.05  -4.65  1.83 -1.25  1.59  1.47 -1.3   -1.24 -0.67  3.62  1.87 -2.    3.06468105316
  6.4   -5.89  -6.85  -0.16   4.33 -11.51   3.34  -2.78   5.53  -2.37   6.59 -12.07  -7.04  -7.16  1.93 -1.11  1.14  0.66 -2.86  -1.14 -1.21  2.73  1.22 -2.83  3.06425786018
  4.59  -4.94  -8.7    2.08   5.99  -8.69   4.18  -1.33   4.86  -2.98   9.22 -12.98  -9.76  -9.45  1.92 -0.9   0.91  0.   -4.13  -1.13 -1.24  3.31  1.59 -3.17  3.06972646713
  1.1   -4.21 -10.21   3.76   6.44  -7.     4.62  -1.1    1.97  -5.61   9.76 -13.19 -13.2  -11.06  1.94 -0.54  0.23 -0.93 -5.    -1.2  -3.12 -0.72 -0.88 -4.33  3.08997392654
 -1.7   -3.14 -10.89   4.02   3.95  -9.83   2.87   1.83   0.33  -2.23   6.84 -10.27 -13.39  -7.97  1.92 -0.33 -0.01 -0.91 -3.98  -1.2  -2.54 -0.24 -0.84 -4.33  3.08362627029
 -3.95   0.24 -10.97   5.51   2.85 -13.32   2.54   4.35  -3.09   0.7   5.41  -7.39 -10.17  -5.43  1.96 -0.56 -1.14 -1.81 -3.12  -1.13 -3.02 -1.82 -1.59 -3.86  3.07872724533
 -4.74   1.48 -13.8    7.68   1.47 -14.66  -0.47   4.67  -3.85   4.15   3.42  -6.54  -9.94  -4.5   1.87 -0.23 -0.78 -1.21 -2.19  -1.27 -2.87 -1.65 -1.52 -3.77  3.06253266335
 -4.86   1.82 -14.49  10.82  -1.9  -14.7   -2.82   4.99  -6.23   7.2   3.35  -4.69  -8.16  -2.14  1.93 -0.27 -1.52 -1.81 -1.26  -1.13 -3.22 -2.5  -1.87 -3.25  3.0745279789
 -5.05   4.9  -13.82  12.23  -4.51 -13.97  -2.88   8.15  -6.81   8.14   1.77  -3.07  -7.29  -1.79  1.96 -0.61 -2.72 -2.9  -1.01  -1.07 -2.62 -1.78 -1.63 -3.34  3.0856282711
 -6.25   6.93 -10.75  14.59  -5.45 -12.11  -6.06   9.24  -8.51  10.94  -0.08  -0.46  -6.7    0.68  1.95 -1.2  -4.66 -4.78 -0.74  -1.08 -2.64 -2.33 -2.04 -3.14  3.08826494217
 -7.21   9.36 -10.57  11.2   -8.55  -8.69  -7.61  11.76  -8.99  12.44  -2.89   2.66  -4.36   1.86  2.06 -1.35 -4.4  -4.48 -0.53  -1.03 -2.12 -2.   -2.03 -3.09  3.08025717735
 -3.93  11.33  -9.64  10.48 -11.32 -11.12 -11.06   8.65  -5.75  10.08  -1.2    0.91  -2.17  -0.09  1.94 -1.83 -3.95 -3.55  1.68  -1.05 -1.7  -0.58 -0.94 -2.57  3.08082675934
 -2.49  11.84  -9.43  10.27 -12.   -13.69 -11.81   5.36  -5.07   8.55  -0.59  -2.53  -0.45  -1.28  1.95 -1.99 -3.89 -3.23  2.69  -1.13 -2.46 -2.   -1.52 -2.45  3.08046865463
 -1.25  13.99  -7.85   6.96 -13.71 -14.57 -12.64   3.92  -4.74   6.05   1.98  -4.33   0.63  -3.92  1.95 -2.39 -3.58 -2.54  3.67  -1.18 -3.02 -2.6  -1.51 -2.28  3.08790683746
 -0.    14.01  -6.74   6.14 -13.86 -11.95 -12.8    1.19  -2.57   2.65   4.74  -6.38   2.48  -6.82  1.99 -2.61 -3.7  -2.75  3.31  -1.19 -3.27 -2.45 -1.07 -1.95  3.06791996956
  0.08  14.26  -3.66   5.65 -12.79  -9.96 -14.95   0.73   0.15   0.95   6.31  -9.22   4.25  -7.25  1.88 -3.03 -4.26 -3.38  3.28  -1.26 -2.52 -0.31  0.44 -1.1   3.08416342735
  3.53  13.08  -0.33   4.78 -10.62  -8.26 -12.21  -0.09   2.71  -0.73   9.46 -11.79   5.02  -9.47  1.97 -3.64 -4.84 -4.23  2.28  -0.99 -1.53  2.35  2.09 -0.69  3.0871257782
  4.22  13.07   2.57   4.72  -8.12  -4.94 -11.92  -1.16   5.61  -2.06  12.29 -12.01   5.45 -11.22  1.81 -3.99 -5.25 -4.86  1.07  -1.22 -0.76  4.63  3.87  0.22  3.09109687805
  7.33  10.51   3.27   1.26  -7.99  -6.   -11.05  -2.75   2.98  -1.98  11.7  -11.32   3.75  -8.11  1.9  -4.01 -4.36 -3.87  1.41  -1.13 -2.15  1.9   2.09 -0.15  3.07858085632
 10.45  10.28   5.68  -1.25  -5.68  -6.28  -8.71  -2.94   0.67   1.03   9.85  -8.48   2.13  -7.57  1.78 -4.42 -3.89 -3.33  1.01  -1.23 -2.71  0.46  1.14 -0.71  3.06057953835
 13.04   7.75   8.86  -4.54  -2.19  -6.99  -7.54  -6.38   0.61   1.89   8.41  -8.25  -0.06  -5.08  1.83 -4.7  -3.77 -3.36  0.55  -1.21 -3.43 -1.47 -0.23 -1.13  3.07379555702
 14.12   7.12   9.56  -7.81   0.2  -10.03  -4.05  -8.44  -2.5    4.11   6.52  -7.59  -0.88  -2.77  1.85 -4.71 -3.05 -2.5   0.39  -1.32 -4.82 -4.98 -2.34 -1.42  3.08632802963
 11.69   6.53  10.92  -9.94   2.76 -10.19  -0.78  -8.97  -4.55   5.59   4.87  -6.13  -2.34   0.35  1.76 -4.73 -2.71 -2.25 -0.55  -1.26 -5.42 -6.58 -3.56 -1.65  3.08164072037
 10.83   5.28  13.45 -11.31   3.17 -12.1    2.47  -9.88  -6.9    6.93   2.24  -4.25  -4.38   2.39  1.77 -4.78 -3.51 -2.93 -0.91  -1.41 -6.38 -8.7  -5.38 -2.38  3.07945966721
  7.77   4.62  13.79 -13.08   5.3  -14.78   3.36 -10.96  -8.92   9.6   1.83  -3.96  -5.27   5.86  1.81 -4.59 -3.5  -2.93 -0.9   -1.42 -6.97 -9.49 -6.04 -2.07  3.0798664093
-11.   13.   12.6  13.3 -11.2  14.8  -4.8   6.7  -3.4  -5.9  -3.6   4.9  -3.3   4.7   2.08  -4.58 -10.9  -10.8   -6.21  -1.14 -4.17 -6.63 -5.08 -2.96  3.09435224533
-11.2   13.89   9.56  13.03  -8.38  12.64  -2.42   4.4   -4.2   -7.21  -4.42   3.48   0.03   6.46   2.12  -4.29 -10.54 -10.5   -6.52  -1.06 -5.15 -8.2  -6.03 -2.69  3.068359375
-13.43  11.3    7.08  11.92  -7.49  12.13  -0.92   3.67  -7.07 -10.39  -4.46   3.29   3.08   7.21  2.08 -3.57 -9.97 -9.94 -6.86   -1.23  -6.97 -10.37  -7.54  -2.52  3.04897451401
-13.39   7.98   6.37  10.92  -6.93   9.25   0.5    3.63  -9.25 -13.69  -6.16   0.31   3.66   9.98  2.1  -3.15 -9.41 -9.4  -6.61   -1.09  -8.12 -11.48  -8.83  -3.14  3.07267260551
-13.03   4.63   4.45  10.2   -5.79   6.49   1.42   0.56 -11.51 -14.63  -8.58  -0.81   6.34  10.11  2.08 -2.56 -8.65 -8.71 -6.46   -1.29  -9.33 -12.22  -9.73  -3.74  3.07651376724
-12.26   1.35   1.18   9.22  -2.43   6.12   1.87  -1.64 -14.85 -13.76 -11.01  -3.74   7.75  13.04  2.05 -1.87 -6.99 -7.73 -6.94   -1.26 -10.2  -12.67 -10.49  -4.23  3.08190107346
-10.01  -1.21  -1.94   8.66  -1.04   5.33   4.23  -4.4  -12.82 -12.11 -11.43  -4.63  10.41  13.92  2.13 -1.35 -6.2  -7.16 -7.35   -1.27 -10.06 -12.62 -10.33  -3.53  3.09166669846
-10.47   1.09   0.65   6.09   0.52   5.12   1.02  -6.31 -14.65 -14.65 -11.46  -7.51  11.37  14.78  2.1  -1.75 -5.85 -7.11 -7.05   -1.3  -10.66 -12.8  -10.68  -3.95  3.08958339691
-11.59   3.28   1.63   5.31   3.29   3.63  -0.42  -6.52 -12.26 -12.79 -12.85  -7.71  11.47  11.31  2.15 -2.03 -6.57 -7.49 -6.78   -1.28 -10.2  -12.65 -10.42  -4.17  3.09484052658
-12.63   4.65   2.2    3.04   3.86   3.41  -1.48  -8.32 -12.12 -10.36 -13.31 -11.01  11.94  10.37  2.05 -2.09 -6.33 -7.19 -6.51   -1.39 -10.17 -12.7  -10.43  -4.08  3.06484365463
-14.32   5.41   5.51   1.93   6.51   0.74  -4.24  -8.42  -9.62  -9.28 -14.84 -14.06  13.47   7.75  2.14 -2.52 -7.35 -7.84 -5.92   -1.31  -9.57 -12.51 -10.09  -4.04  3.06640625
-13.21   7.78   6.47   0.41   6.74  -1.34  -4.74 -10.75  -9.36  -6.49 -12.17 -13.42  14.51   5.68  2.1  -2.87 -7.42 -7.8  -5.23   -1.39  -9.47 -12.44  -9.71  -3.39  3.07068681717
-10.69  10.67   7.4   -2.42   7.78  -3.94  -7.47 -12.11  -9.14  -4.55 -11.56 -11.02  12.09   4.08  2.   -3.36 -6.79 -7.12 -3.82   -1.38  -9.32 -12.4   -9.68  -3.93  3.07954096794
-10.25  11.6    8.14  -5.9    9.95  -4.72 -10.78 -12.78  -8.86  -4.53  -8.37  -8.74   9.31   1.7   2.04 -3.52 -6.07 -6.44 -2.9    -1.25  -9.24 -12.43  -9.61  -4.14  3.08725595474
 -7.17  10.14   9.23  -3.3    9.93  -2.01  -8.19 -14.84  -8.32  -2.89  -6.75  -8.79   7.13   0.66  2.07 -3.71 -7.   -7.36 -3.97   -1.35  -9.25 -12.21  -9.24  -4.01  3.07672524452
 -6.8    7.94  12.03  -2.4    6.93   1.45  -6.88 -14.3   -7.4    0.11  -3.79 -11.18   7.08  -1.66  2.02 -3.97 -7.6  -7.91 -4.54   -1.33  -8.51 -11.68  -8.29  -3.13  3.08964848518
 -4.48   6.59  14.54  -2.12   3.98   4.14  -5.94 -12.7   -5.02   2.74  -1.81 -13.57   6.17  -4.47  1.97 -4.36 -7.96 -8.23 -4.81   -1.35  -7.17 -10.25  -6.65  -2.69  3.09038090706
 -1.99   6.42  14.71   0.86   1.24   6.    -4.2  -12.33  -3.85   5.45  -1.57 -13.02   6.04  -6.96  1.9  -4.54 -8.46 -8.61 -5.21  -1.43 -6.33 -9.05 -5.55 -2.61  3.07962226868
  1.09   5.89  12.7    1.79   0.84   7.94  -2.86  -9.92  -2.63   6.13  -1.11 -10.83   5.71  -8.08  1.95 -4.46 -8.1  -8.44 -5.79  -1.39 -5.31 -7.39 -4.34 -2.55  3.08548164368
  2.33   3.94  10.8    3.47   0.33   9.85  -1.01  -8.06  -2.15   7.64   1.95  -9.21   3.16 -10.32  1.93 -4.19 -7.67 -8.33 -6.46  -1.34 -4.37 -5.08 -2.74 -2.49  3.08956694603
  3.75   3.69   9.52   5.86  -1.49  12.53   1.4   -7.79   1.34   8.58   4.5   -7.97   2.79 -13.14  1.92 -4.12 -7.69 -8.46 -7.16  -1.33 -2.65 -0.68 -0.02 -2.11  3.08836269379
  3.68   3.14   6.07   3.93  -3.58  10.59   0.72  -5.     3.53  10.43   2.34  -8.77   0.52 -13.69  1.86 -3.61 -5.88 -6.81 -6.31  -1.3  -0.64  3.07  1.76 -2.66  3.08037114143
