Ex Ey Ez 
0.0000000000e+00 2.8906479877e-08 2.0155811687e-08 4.8816166427e-03 
5.0000000000e-04 2.9256889995e-08 2.0505967147e-08 5.0827878192e-03 
1.0000000000e-03 2.9751218556e-08 2.1281161440e-08 5.3728750455e-03 
1.5000000000e-03 3.0251804440e-08 2.3031272341e-08 5.6882276578e-03 
2.0000000000e-03 3.0789881232e-08 2.5725052628e-08 6.0258344629e-03 
2.5000000000e-03 3.2190248911e-08 2.8125185681e-08 6.3830998788e-03 
3.0000000000e-03 3.4790325652e-08 2.9725496516e-08 6.7589620766e-03 
3.5000000000e-03 3.8252611425e-08 3.1017958415e-08 7.1572612341e-03 
4.0000000000e-03 4.1752106164e-08 3.3205172736e-08 7.5873844525e-03 
4.5000000000e-03 4.5213828051e-08 3.6315271679e-08 8.0490555882e-03 
5.0000000000e-03 4.7813177196e-08 3.9764562310e-08 8.5268123794e-03 
5.5000000000e-03 4.9212817280e-08 4.3314261156e-08 9.0143293555e-03 
6.0000000000e-03 5.0186137375e-08 4.6633825824e-08 9.5286989358e-03 
6.5000000000e-03 5.2623644105e-08 4.8915263796e-08 1.0111702589e-02 
7.0000000000e-03 5.6558171778e-08 5.0192937305e-08 1.0763132692e-02 
7.5000000000e-03 6.0821568560e-08 5.2030807996e-08 1.1436640061e-02 
8.0000000000e-03 6.4935954157e-08 5.5068678360e-08 1.2113263666e-02 
8.5000000000e-03 6.8914752590e-08 5.8891859794e-08 1.2816720006e-02 
9.0000000000e-03 7.2790778135e-08 6.2486669044e-08 1.3604982748e-02 
9.5000000000e-03 7.6613972669e-08 6.5830430885e-08 1.4478351650e-02 
1.0000000000e-02 8.1450243218e-08 6.9437973594e-08 1.5385447701e-02 
1.0500000000e-02 8.7735642654e-08 7.3519908740e-08 1.6305252214e-02 
1.1000000000e-02 9.4739673556e-08 7.8279986059e-08 1.7264431095e-02 
1.1500000000e-02 1.0067667556e-07 8.4216260464e-08 1.8328167667e-02 
1.2000000000e-02 1.0554433854e-07 9.1276461759e-08 1.9496965940e-02 
1.2500000000e-02 1.1107750031e-07 9.7812590695e-08 2.0716730811e-02 
1.3000000000e-02 1.1798586724e-07 1.0315046576e-07 2.1965332465e-02 
1.3500000000e-02 1.2588168062e-07 1.0802091180e-07 2.3270999496e-02 
1.4000000000e-02 1.3381708584e-07 1.1421038953e-07 2.4702735136e-02 
1.4500000000e-02 1.4179528430e-07 1.2175321572e-07 2.6261599117e-02 
1.5000000000e-02 1.5083456129e-07 1.2961789864e-07 2.7901902329e-02 
1.5500000000e-02 1.6135148807e-07 1.3738246438e-07 2.9604953772e-02 
1.6000000000e-02 1.7295863359e-07 1.4554501130e-07 3.1386371628e-02 
1.6500000000e-02 1.8470894418e-07 1.5532311318e-07 3.3284333676e-02 
1.7000000000e-02 1.9655791675e-07 1.6667703269e-07 3.5302623649e-02 
1.7500000000e-02 2.0847353710e-07 1.7751497472e-07 3.7486305911e-02 
1.8000000000e-02 2.2044270850e-07 1.8698120490e-07 3.9853815883e-02 
1.8500000000e-02 2.3276570435e-07 1.9612302784e-07 4.2385901495e-02 
1.9000000000e-02 2.4617652631e-07 2.0750052146e-07 4.5035502136e-02 
1.9500000000e-02 2.6070469282e-07 2.2117836866e-07 4.7800200645e-02 
2.0000000000e-02 2.7626560773e-07 2.3601951571e-07 5.0673880098e-02 
2.0500000000e-02 2.9282466351e-07 2.5155880425e-07 5.3654038117e-02 
2.1000000000e-02 3.1039518550e-07 2.6767116045e-07 5.6810352775e-02 
2.1500000000e-02 3.2900974677e-07 2.8405084828e-07 6.0313148248e-02 
2.2000000000e-02 3.4871656830e-07 3.0071792740e-07 6.4162393235e-02 
2.2500000000e-02 3.7054393865e-07 3.1841944637e-07 6.8187074961e-02 
2.3000000000e-02 3.9491252132e-07 3.3746101597e-07 7.2317233653e-02 
2.3500000000e-02 4.2099025486e-07 3.5789754268e-07 7.6634109900e-02 
2.4000000000e-02 4.4674321125e-07 3.7986324234e-07 8.1336291804e-02 
2.4500000000e-02 4.7221035679e-07 4.0335251246e-07 8.6427520494e-02 
