Ex Ey Ez 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 -1.4890849634e-03 
6.0000000000e-04 -3.3119536245e-26 2.5243548967e-27 -1.4890849634e-03 
1.2000000000e-03 5.1698788285e-26 0.0000000000e+00 -1.4890849634e-03 
1.8000000000e-03 -2.0033280460e-25 -4.8467614017e-27 -1.4890849634e-03 
2.4000000000e-03 6.4623485356e-26 2.0679515314e-25 -1.4890849634e-03 
3.0000000000e-03 -7.7548182427e-26 3.9065639612e-11 -1.5021547388e-03 
3.6000000000e-03 1.7286782333e-25 1.8438981897e-10 -1.5519929189e-03 
4.2000000000e-03 1.5509636485e-25 2.2189283300e-10 -1.6230334581e-03 
4.8000000000e-03 -6.8177777050e-25 7.6568653640e-11 -1.7049751518e-03 
5.4000000000e-03 0.0000000000e+00 1.5626255845e-12 -1.7884743712e-03 
6.0000000000e-03 -6.4623485356e-25 -1.6802106192e-25 -1.8719746122e-03 
6.6000000000e-03 -2.9040178732e-25 -3.7966297646e-26 -1.9554772188e-03 
7.2000000000e-03 -4.1359030628e-25 2.0679515314e-25 -2.0389790706e-03 
7.8000000000e-03 8.4010530962e-25 1.2924697071e-26 -2.1224787620e-03 
8.4000000000e-03 -5.6868667113e-25 4.1359030628e-25 -2.2059781359e-03 
9.0000000000e-03 -5.6868667113e-25 4.3943970042e-25 -2.2965759308e-03 
9.6000000000e-03 -9.1684569848e-25 -1.2359241574e-25 -2.4078836277e-03 
1.0200000000e-02 1.2407709188e-24 1.0339757657e-25 -2.5655020445e-03 
1.0800000000e-02 -3.2311742678e-26 -9.0472879498e-26 -2.7756816105e-03 
1.1400000000e-02 -5.1698788285e-25 0.0000000000e+00 -2.9933698583e-03 
1.2000000000e-02 -8.2718061255e-25 -2.5849394142e-25 -3.2110587126e-03 
1.2600000000e-02 7.9971563128e-25 1.2553112030e-24 -3.4287493544e-03 
1.3200000000e-02 6.2038545941e-25 -5.1698788285e-25 -3.6464394777e-03 
1.3800000000e-02 3.4896682092e-25 5.1698788285e-25 -3.8641280221e-03 
1.4400000000e-02 1.0339757657e-25 8.2718061255e-25 -4.0818162332e-03 
1.5000000000e-02 4.6528909456e-25 1.3958672837e-24 -4.3134981443e-03 
1.5600000000e-02 2.7481137148e-24 -5.6222432259e-25 -4.5855591240e-03 
1.6200000000e-02 -9.3057818912e-25 -6.2038545941e-25 -4.9278484870e-03 
1.6800000000e-02 -3.8774091213e-25 -3.3604212385e-25 -5.3455160341e-03 
1.7400000000e-02 -1.6543612251e-24 8.2718061255e-25 -5.7739511300e-03 
1.8000000000e-02 6.7208424770e-25 -6.7208424770e-25 -6.2023850223e-03 
1.8600000000e-02 -2.6818746423e-24 9.9520167448e-25 -6.6308171851e-03 
1.9200000000e-02 -5.2732764050e-24 8.2718061255e-25 -7.0592498816e-03 
1.9800000000e-02 -2.4298430494e-24 3.1019272971e-24 -7.5034749153e-03 
2.0400000000e-02 -2.6883369908e-24 0.0000000000e+00 -8.0582356855e-03 
2.1000000000e-02 -5.5834691347e-24 3.9108272176e-11 -8.6982349567e-03 
2.1600000000e-02 -6.5915955063e-25 1.8459104467e-10 -9.3477601564e-03 
2.2200000000e-02 -5.7902642879e-24 2.2213498596e-10 -1.0000060991e-02 
2.2800000000e-02 1.1373733423e-24 7.6652213465e-11 -1.0667147829e-02 
2.3400000000e-02 -4.1359030628e-25 1.5643308870e-12 -1.1437735443e-02 
2.4000000000e-02 2.2747466845e-24 2.7917345674e-24 -1.2310249738e-02 
2.4600000000e-02 -1.2472332674e-24 2.5461653230e-24 -1.3253600039e-02 
