n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_part 
   0  entry      0.00000        0.50000        0.00000        0.24379        0.24362        0.67005        0.68538        5.71520       15.77696        0.00661           0.11294             0.18658             0.22265             0.11219             0.18615             0.22320             2.22650             3.69435             4.42437          0.00000        0.00000        0.00000        0.00000        0.03277        0.00000       -0.68695        0.06898       -0.68711        0.06934       -0.58829          10.03103              0.0        100001.0
   1  align      0.00000        0.50000        0.00000        0.24379        0.24362        0.67005        0.68538        5.71520       15.77696        0.00661           0.11294             0.18658             0.22265             0.11219             0.18615             0.22320             2.22650             3.69435             4.42437          0.00000        0.00000        0.00000        0.00000        0.03277        0.00000       -0.68695        0.06898       -0.68711        0.06934       -0.58829          10.03103              0.0        100001.0
   2  align      0.00000        0.50000        0.00000        0.24379        0.24362        0.67005        0.68538        5.71520       15.77696        0.00661           0.11294             0.18658             0.22265             0.11219             0.18615             0.22320             2.22650             3.69435             4.42437          0.00000        0.00000        0.00000        0.00000        0.03277        0.00000       -0.68695        0.06898       -0.68711        0.06934       -0.58829          10.03103              0.0        100001.0
   3  align      0.00000        0.50000        0.00000        0.24379        0.24362        0.67005        0.68538        5.71520       15.77696        0.00661           0.11294             0.18658             0.22265             0.11219             0.18615             0.22320             2.22650             3.69435             4.42437          0.00000        0.00000        0.00000        0.00000        0.03277        0.00000       -0.68695        0.06898       -0.68711        0.06934       -0.58829          10.03103              0.0        100001.0
   4  drift      0.08000        0.50000        0.00005        0.26495        0.26466        0.72894        0.73421        5.36585       14.81883        0.00657           0.11294             0.18676             0.22207             0.11219             0.18619             0.22352             2.22650             3.69305             4.43877          0.00000        0.00000        0.00000        0.00000        0.03277        0.00822       -0.87144        0.08147       -0.87081        0.08184       -0.41551           8.84214              0.0        100001.0
   5  sol3d      0.48000        0.50000        0.00003        0.25525        0.25498        0.70551        0.69815        5.38369       14.78018        0.00657           0.11310             0.18695             0.22046             0.11209             0.18717             0.22203             2.22687             3.69319             4.47118          0.00378        0.03767        0.00085       -0.04651        0.03277        0.11128        0.96673        0.07550        0.96982        0.07603        0.42448           8.89956              0.0        100001.0
   6  drift      0.54000        0.50000       -0.00001        0.23665        0.23647        0.65412        0.65086        5.64319       15.49384        0.00660           0.11311             0.18691             0.22093             0.11209             0.18726             0.22213             2.22690             3.69229             4.45928          0.00400        0.03767        0.00057       -0.04651        0.03277        0.11809        0.80464        0.06490        0.80825        0.06539        0.55418           9.77808              0.0        100001.0
   7  cav        0.90000        0.55316        0.58219        0.22298        0.22216        0.61789        0.62749        5.51714       15.94499        0.00582           0.11307             0.18746             0.22238             0.11199             0.18797             0.22431             2.27052             4.09071             5.74538          0.00376       -0.04273       -0.00914       -0.49850        0.03437       -1.53739       -0.53552        0.06045       -0.52420        0.06059       -0.36236          10.08252              0.0        100001.0
   8  drift      0.98000        0.55316        0.58222        0.24083        0.23958        0.66289        0.67396        5.33547       15.55985        0.00579           0.11306             0.18762             0.22177             0.11198             0.18779             0.22382             2.27016             4.08769             5.71705          0.00341       -0.04273       -0.01313       -0.49852        0.03437       -2.18865       -0.71908        0.07052       -0.70584        0.07046       -0.22180           9.43094              0.0        100001.0
   9  sol3d      1.38000        0.55316        0.58223        0.23596        0.23722        0.67942        0.65756        5.70398       19.67951        0.00583           0.11202             0.18691             0.22905             0.11292             0.18619             0.22568             2.26748             4.06199             5.69704         -0.02099       -0.18197       -0.01314        0.23777        0.03437       -5.39826        0.73274        0.06833        0.73950        0.06851        0.46649          10.79142              0.0        100001.0
